Vùng,Tỉnh,BC,Mã đơn,Tệp khách,Ngày nhập BC Giao,Số ngày đã nhập BC,Giờ câp nhật,Số lần giao,Nhóm BL,COD
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTANWR4,SME,2026-05-28 15:40:36.356000+00:00,13.7,2026-06-11 07:45:36.692000+00:00,5,(i) 13 - 14 ngày,cod
NTB,Lâm Đồng,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,GYTTMFQU,SME,2026-05-28 18:11:28.946000+00:00,13.6,2026-06-11 07:45:36.692000+00:00,4,(i) 13 - 14 ngày,cod
NTB,Lâm Đồng,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,GYTH8TEM,SME,2026-05-28 18:55:32.993000+00:00,13.5,2026-06-11 07:45:36.692000+00:00,0,(i) 13 - 14 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYTXHAEP,SME,2026-05-29 06:27:48.803000+00:00,13.1,2026-06-11 07:45:36.692000+00:00,3,(i) 13 - 14 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYT8MKNQ,SME,2026-05-29 06:31:22.783000+00:00,13.1,2026-06-11 07:45:36.692000+00:00,2,(i) 13 - 14 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTAN8KL,SME,2026-05-29 06:31:42.081000+00:00,13.1,2026-06-11 07:45:36.692000+00:00,1,(i) 13 - 14 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTHKTMG,SME,2026-05-29 06:33:45.948000+00:00,13.0,2026-06-11 07:45:36.692000+00:00,2,(i) 13 - 14 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTXYFQX,SME,2026-05-29 12:30:09.131000+00:00,12.8,2026-06-11 07:45:36.692000+00:00,3,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTAVQCL,SME,2026-05-29 12:30:09.131000+00:00,12.8,2026-06-11 07:45:36.692000+00:00,4,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTAHAAU,SME,2026-05-29 12:31:25.461000+00:00,12.8,2026-06-11 07:45:36.692000+00:00,3,(h) 12 - 13 ngày,cod
NTB,Khánh Hòa,Bưu Cục 40A Yết Kiêu-Nha Trang-Khánh Hòa,GYTAR7EP,Shopee,2026-05-29 12:53:23.985000+00:00,12.8,2026-06-11 07:45:36.692000+00:00,0,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng ,GYTX4YC4,SME,2026-05-29 13:43:15.762000+00:00,12.8,2026-06-11 07:45:36.692000+00:00,4,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTAYCG8,SME,2026-05-29 14:27:41.317000+00:00,12.7,2026-06-11 07:45:36.692000+00:00,2,(h) 12 - 13 ngày,cod
