Thời gian cập nhật,,12/06/2026,,"Logic thuộc 1 trong 4 trường hợp sau:

Tồn LM: Lượng đơn Backlogs LastMile trên tổng đơn GTC trung bình 7 ngày gần nhất (L7D) lớn hơn 2 (ngày).
Tồn KTC: Lượng đơn Backlogs KTC cùng tỉnh trên tổng đơn GTC trung bình 7 ngày gần nhất (L7D) lớn hơn 2 (ngày).
Tồn LM + Tồn KTC: Các bưu cục đồng thời thuộc cả 2 nhóm: Tồn LM và Tồn KTC
Tồn Aging >5 ngày: tỷ lệ đơn tồn trên 5 ngày chiếm từ 10% trở lên trên tổng lượng Backlogs LastMile.",,,,,,,,,,,,,,,,
Tổng số lượng bưu cục cảnh báo:,,10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ngay,vung_giao,tinh_giao,kho_giao_id,kho_giao_name,warehouse_type,bl lm,bl lm >5 ngay,%bl lm >5 ngay,bl ktc,bl ktc cung tinh,%bl ktc cung tinh,tao_n1,tao_avg_7ngay,gtc_n1,gtc_avg_7ngay,gtc_max_7ngay,du_kien_clear_ton,tinh_hinh,ly_do_bat_on,Trạng thái
2026-06-11 07:30:36.897000,NTB,Bình Thuận,21298000,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận,BC,556,0,0.00%,711,67,0.094,658,837,777,758,927,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,21605000,Kho Giao Hàng Nặng - Đức Trọng - Lâm Đồng,GXT,101,1,1.00%,55,6,0.109,141,166,141,138,169,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,21396000,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,BC,678,5,0.70%,548,63,0.115,852,1083,1018,1033,1183,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,21126000,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,BC,564,9,1.60%,389,45,0.116,675,850,824,779,922,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,21131000,Kho Giao Hàng Nặng - TP Bảo Lộc - Lâm Đồng,GXT,149,0,0.00%,127,47,0.37,246,255,266,213,272,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,21331000,Bưu Cục Thôn Dầu Sơn-Cam Lâm-Khánh Hoà,BC,193,4,2.10%,812,18,0.022,401,430,400,335,405,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,2502,Bưu Cục Phước Đồng-Nha Trang-Khánh Hoà,BC,237,0,0.00%,233,16,0.069,216,368,310,367,396,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,22057000,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,GXT,47,0,0.00%,74,9,0.122,69,89,80,76,108,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,21067000,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,BC,322,0,0.00%,326,43,0.132,473,548,515,512,596,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,21456000,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,BC,512,0,0.00%,1041,74,0.071,1014,1197,1138,1094,1167,1,Bình thường,,Bình thường
