Mã bưu cục,Mã đơn hàng,Loại đơn,Khách hàng,Trạng thái,Thời gian tồn đọng,warehouse_name
20316000,VNGH80531186904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
20316000,VNGH80486126904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
20316000,VNGH80531386904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
21065000,VNGH80803956609,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu cục 47 Trần Hưng Đạo-Hàm Thuận Nam-Bình Thuận
21298000,GYH3HD77,Luân chuyển giao,SHOPEE,Đã đóng kiện,0_6,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYH3NNCC,Luân chuyển giao,SHOPEE,Đã đóng kiện,0_6,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYH43VYE,Luân chuyển giao,SHOPEE,Đã đóng kiện,0_6,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYH37YBV,Luân chuyển giao,OTHER,Đã đóng kiện,0_6,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21046000,GYHPBN6B,Luân chuyển trả,SHOPEE,Chưa đóng kiện,12_24,Bưu Cục 36 Bà Triệu-Vạn Ninh-Khánh Hoà
21298000,GYH4MX7U,Luân chuyển giao,SHOPEE,Đã đóng kiện,0_6,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
20785000,VNGH80021746902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
21298000,GYHBKMGW,Luân chuyển giao,SHOPEE,Đã đóng kiện,0_6,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
20785000,VNGH80596936902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
