tutinh,kholay,NgayLTC,khung_gio_tao_don,ly_do_tre_12h,sellername,vol_ltc,tuan,vung,ot,Tuần,AM,Khung giờ tạo,Đơn trễ
Khánh Hòa,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Cá cảnh HuGo,10,24,NTB,10,W24,Nguyễn Thanh Long,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục Phước Minh-Thuận Nam-Ninh Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Mỹ Phẩm Long Châu,13,24,NTB,13,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục 229 Phước Long-Nam Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,HUYNH THANH COSMETIC,1,24,NTB,1,W24,Thái Thị Thanh Thư,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,Bạc Việt Hương,1,24,NTB,0,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,1
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,An Vy Shop - 49 Lâm Đồng,11,24,NTB,11,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,DALAT CORDYCEPS OFFICIAL,8,24,NTB,8,W24,Lê Minh Đại,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,SHOP HOAI THUN.,6,24,NTB,0,W24,Lê Minh Đại,2.Tạo từ 19h-9h,6
Khánh Hòa,Bưu Cục 39 Hùng Vương-Diên Khánh-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,3.Không liên lạc được,LuluBoutique1,1,24,NTB,0,W24,Nguyễn Hoàng Phi,1.Tạo từ 9h-19h,1
Đắk Nông,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,CM Store Live,81,24,NTB,81,W24,Trần Công Hậu,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,VTNN Duy Tân.,2,24,NTB,2,W24,Lê Minh Đại,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Bơ 034 bảo lộc,2,24,NTB,2,W24,Hồng Bích Nga,1.Tạo từ 9h-19h,0
Đắk Nông,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,3.Không liên lạc được,CM Store Live,1,24,NTB,0,W24,Trần Công Hậu,1.Tạo từ 9h-19h,1
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Dâu Tây Shop 85,1,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,1
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,2.Khách hẹn lại,Thư Ú Mall,1,24,NTB,0,W24,Hồng Bích Nga,1.Tạo từ 9h-19h,1
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,ÚT DIỆP TRANG SỨC,5,24,NTB,5,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Pin Duy Lập,2,24,NTB,2,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Nông trại Hoàng Yến,47,24,NTB,47,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục 16 Huỳnh Thúc Kháng-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,2.Khách hẹn lại,Sato Box,1,24,NTB,0,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,1
Ninh Thuận,Bưu Cục 254A Đường 21 tháng 8-Phan Rang-Tháp Chàm-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Khứa Bán Mồi Bột,2,24,NTB,2,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục Phước Minh-Thuận Nam-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Mỹ Phẩm Long Châu,16,24,NTB,16,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Thủy sinh JetA,1,24,NTB,1,W24,Hồng Bích Nga,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,ĐẶC SẢN XỨ ĐÀ LẠT,7,24,NTB,7,W24,Lê Minh Đại,2.Tạo từ 19h-9h,0
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,KAI Decal,3,24,NTB,3,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục TDP Ba Đình-Lâm Hà-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,H-Linh,2,24,NTB,2,W24,Huỳnh Thị Kim Chi,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Làng Chài Xưa,3,24,NTB,0,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,3
Đắk Nông,Bưu Cục 40 Nguyễn Văn Linh-Cư Jút-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Doanh Loa Hay,1,24,NTB,1,W24,Trần Thị Nhung,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-06-13,3.Tạo sau 19h,1.Gan_tre,@trangsucnhienvo,2,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,2
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Thế Giới Đ Bẫy - STORE,4,24,NTB,4,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,VĂN PHÒNG PHẨM PHƯƠNG ANH,6,24,NTB,6,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Chuyên Bẫy Lưới,3,24,NTB,3,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 51 Phạm Ngọc Thạch-Ninh Hải-Ninh Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Trại Nho Giống Khởi,1,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,1
Khánh Hòa,Bưu Cục 36 Bà Triệu-Vạn Ninh-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,TOT LAB,1,24,NTB,1,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,DALAT CORDYCEPS OFFICIAL,1,24,NTB,1,W24,Lê Minh Đại,1.Tạo từ 9h-19h,0
